,price,freight_value,order_value,delivery_days,estimated_days,delay_days,customer_rating
price,1.0,0.4108393410464046,0.9971035766877421,0.06224264098371161,0.07205947798024097,-0.005218227285889242,0.0030750491400713636
freight_value,0.4108393410464046,1.0,0.4789898753259614,0.21507285507897012,0.27635202280748944,-0.04192497055919278,-0.0329996976850345
order_value,0.9971035766877421,0.4789898753259614,1.0,0.07787074349576747,0.09243467038729124,-0.008521695756543768,0.0002078829214201781
delivery_days,0.06224264098371161,0.21507285507897012,0.07787074349576747,1.0,0.38441186872672395,0.5915510959865364,-0.30482703727313476
estimated_days,0.07205947798024097,0.27635202280748944,0.09243467038729124,0.38441186872672395,1.0,-0.5169160207351721,-0.061122446679464884
delay_days,-0.005218227285889242,-0.04192497055919278,-0.008521695756543768,0.5915510959865364,-0.5169160207351721,1.0,-0.22927934552177204
customer_rating,0.0030750491400713636,-0.0329996976850345,0.0002078829214201781,-0.30482703727313476,-0.061122446679464884,-0.22927934552177204,1.0
